order_id,customer_id,order_date,status,region_code
1,42,2025-07-21 21:28:48,DELIVERED,CENTRAL
2,210,2024-08-03 00:08:32,RETURNED,SOUTH
3,595,2024-11-21 21:41:10,DELIVERED,SOUTH
4,516,2025-10-18 23:56:26,SHIPPED,NORTH
5,514,2026-03-29 04:09:01,CANCELLED,WEST
6,546,2025-03-30 00:24:17,DELIVERED,EAST
7,68,2024-10-19 14:19:49,CANCELLED,WEST
8,184,2025-03-23 23:18:46,RETURNED,NORTH
9,152,2026-02-10 00:28:35,SHIPPED,SOUTH
10,301,2025-10-09 01:36:43,RETURNED,CENTRAL
11,431,2025-11-20 12:18:07,DELIVERED,NORTH
12,238,2026-03-18 04:51:20,DELIVERED,WEST
13,335,2026-01-25 04:55:32,DELIVERED,CENTRAL
14,312,2026-05-31 04:40:29,PLACED,EAST
15,496,2025-07-31 17:31:23,RETURNED,NORTH
16,171,2024-09-06 18:40:52,DELIVERED,EAST
17,158,2024-09-07 12:00:41,SHIPPED,NORTH
18,452,2025-02-08 12:41:02,DELIVERED,SOUTH
19,,2025-05-07 08:31:11,RETURNED,SOUTH
20,167,2026-04-08 23:39:05,DELIVERED,NORTH
21,149,2025-12-12 00:00:00,RETURNED,SOUTH
22,520,2025-05-29 15:02:15,DELIVERED,EAST
23,588,2024-08-16 11:40:09,DELIVERED,WEST
24,491,2024-03-03 06:19:29,PLACED,CENTRAL
25,,2024-12-08 07:47:42,DELIVERED,NORTH
26,200,2026-06-25 07:54:02,DELIVERED,EAST
27,457,2024-05-15 17:38:53,RETURNED,WEST
28,524,2024-03-28 01:36:23,RETURNED,EAST
29,438,2025-07-28 04:48:14,DELIVERED,NORTH
30,457,2026-05-21 12:49:36,PLACED,WEST
31,454,2025-03-24 09:03:22,SHIPPED,WEST
32,89,2024-08-11 03:15:38,SHIPPED,WEST
33,344,2024-04-12 16:58:29,RETURNED,CENTRAL
34,420,2025-02-28 14:26:18,DELIVERED,CENTRAL
35,141,2024-11-05 12:51:37,SHIPPED,WEST
36,310,2026-06-28 02:08:42,DELIVERED,CENTRAL
37,3,2024-08-27 06:25:47,SHIPPED,WEST
38,295,2025-10-10 00:00:00,SHIPPED,SOUTH
39,505,2024-04-13 15:40:54,DELIVERED,EAST
40,265,2026-01-09 12:05:02,RETURNED,NORTH
41,18,2025-02-07 04:14:51,SHIPPED,NORTH
42,139,2025-07-09 04:17:45,SHIPPED,EAST
43,365,2024-03-16 16:13:23,SHIPPED,CENTRAL
44,199,2024-10-11 15:57:42,DELIVERED,CENTRAL
45,324,2025-04-12 16:47:21,SHIPPED,EAST
46,148,2024-01-21 00:51:35,PLACED,EAST
47,349,2024-09-10 06:10:01,PLACED,SOUTH
48,573,2026-03-27 13:45:27,CANCELLED,CENTRAL
49,428,2025-12-16 08:21:43,RETURNED,NORTH
50,492,2025-06-24 22:12:23,DELIVERED,EAST
51,536,2025-06-15 00:00:00,SHIPPED,EAST
52,228,2024-07-18 22:49:24,CANCELLED,SOUTH
53,215,2024-07-21 06:53:17,RETURNED,WEST
54,80,2024-01-30 00:00:00,DELIVERED,WEST
55,526,2026-07-10 11:12:38,PLACED,NORTH
56,,2025-04-13 14:10:14,DELIVERED,NORTH
57,211,2026-07-01 19:25:45,RETURNED,SOUTH
58,,2024-08-14 02:45:26,CANCELLED,EAST
59,165,2026-02-16 17:00:13,DELIVERED,CENTRAL
60,102,2026-06-17 02:23:08,DELIVERED,CENTRAL
61,289,2024-09-23 00:00:00,RETURNED,CENTRAL
62,220,2026-02-22 05:45:43,CANCELLED,WEST
63,451,2024-06-15 17:20:51,SHIPPED,EAST
64,527,2024-12-19 11:50:09,DELIVERED,EAST
65,140,2026-02-09 05:21:39,DELIVERED,EAST
66,,2025-05-24 17:01:44,DELIVERED,WEST
67,320,2025-11-20 15:52:28,SHIPPED,WEST
68,194,2024-04-18 03:13:02,CANCELLED,WEST
69,14,2026-02-02 17:58:47,DELIVERED,WEST
70,88,2024-07-04 04:45:48,PLACED,WEST
71,173,2024-04-10 12:34:44,DELIVERED,SOUTH
72,414,2024-07-09 16:54:19,SHIPPED,WEST
73,596,2026-07-11 04:52:30,SHIPPED,WEST
74,415,2026-01-22 16:41:39,DELIVERED,SOUTH
75,257,2026-01-30 00:00:00,DELIVERED,SOUTH
76,70,2026-02-12 19:48:55,DELIVERED,SOUTH
77,157,2025-04-15 07:26:07,DELIVERED,NORTH
78,533,2026-02-03 14:04:49,DELIVERED,SOUTH
79,517,2025-02-10 11:35:18,DELIVERED,CENTRAL
80,33,2025-10-30 14:42:49,CANCELLED,NORTH
81,386,2025-11-18 11:41:20,DELIVERED,NORTH
82,311,2024-09-11 23:44:27,DELIVERED,SOUTH
83,113,2026-06-02 16:27:35,DELIVERED,CENTRAL
84,488,2026-05-23 00:00:00,CANCELLED,CENTRAL
85,387,2025-07-01 23:59:11,DELIVERED,EAST
86,,2024-03-11 02:08:16,PLACED,EAST
87,28,2025-06-14 02:57:55,DELIVERED,WEST
88,360,2024-03-28 16:34:49,DELIVERED,SOUTH
89,87,2024-04-11 18:01:32,CANCELLED,NORTH
90,,2025-05-21 14:31:01,PLACED,WEST
91,274,2024-02-01 00:00:00,DELIVERED,CENTRAL
92,585,2025-08-29 07:28:05,DELIVERED,NORTH
93,211,2025-06-05 21:46:29,DELIVERED,EAST
94,447,2024-11-09 10:06:24,DELIVERED,NORTH
95,295,2025-02-15 21:41:55,PLACED,CENTRAL
96,95,2026-06-17 04:36:24,PLACED,EAST
97,544,2026-01-08 07:17:20,DELIVERED,EAST
98,310,2026-02-22 22:19:31,CANCELLED,WEST
99,425,2025-09-16 22:52:00,SHIPPED,CENTRAL
100,185,2024-01-29 21:34:55,DELIVERED,CENTRAL
101,219,2025-12-26 22:01:55,SHIPPED,CENTRAL
102,445,2026-05-29 10:21:02,DELIVERED,NORTH
103,152,2025-01-08 09:47:25,SHIPPED,EAST
104,66,2024-11-12 05:11:37,CANCELLED,EAST
105,263,2026-07-22 23:33:49,SHIPPED,SOUTH
106,252,2025-04-27 09:47:29,DELIVERED,CENTRAL
107,38,2024-11-09 00:00:00,SHIPPED,SOUTH
108,285,2026-05-05 11:48:43,SHIPPED,NORTH
109,21,2024-03-26 22:45:00,CANCELLED,NORTH
110,66,2025-09-24 06:18:54,CANCELLED,NORTH
111,144,2025-01-01 16:15:07,PLACED,CENTRAL
112,595,2026-03-26 23:07:02,SHIPPED,NORTH
113,321,2025-05-26 12:40:06,CANCELLED,WEST
114,434,2024-12-04 15:56:30,PLACED,SOUTH
115,419,2025-01-30 01:12:42,CANCELLED,NORTH
116,116,2025-05-06 15:36:01,DELIVERED,WEST
117,149,2025-07-17 21:32:48,DELIVERED,EAST
118,,2026-07-30 02:24:37,PLACED,NORTH
119,246,2025-01-27 23:53:09,DELIVERED,EAST
120,125,2026-04-10 22:54:57,CANCELLED,WEST
121,403,2025-01-31 22:59:11,DELIVERED,SOUTH
